# Undirected graph (each pair of nodes is saved twice):as19971108.txt
# Autonomous systems (from the BGP logs) - 11 08 1997 
# Nodes:3015	Edges: 5347
# FromNodeId	ToNodeId
1	1740
1	5413
1	701
1	286
1	1239
1	3561
1	2914
1	2548
1	6478
1	71
1	33
1	714
1	3
1	7725
1	7015
1	7017
1	7016
1	7756
1	6841
1	32
1	174
1	7332
1	5388
1	34
1	46
1	5691
1	6
1	3739
1	2637
1	5727
1	4766
1	3450
1	111
1	3909
1	5723
1	3527
1	77
1	49
1	10561
1	4511
1	561
1	70
1	6059
1	6166
1	557
1	8043
1	3303
1	613
1	10326
1	7430
1	140
1	1236
1	4648
1	3857
1	5661
1	48
1	1226
1	5693
1	144
1	6431
1	1673
1	6742
1	4550
1	3680
1	3452
1	625
1	3404
1	4200
1	4780
1	1842
1	1830
1	3749
1	3614
1	3402
1	109
1	6527
1	6419
1	4151
1	4911
1	7054
1	3448
1	5737
1	2024
1	2714
1	2581
1	7152
1	3705
1	2511
1	2685
1	6607
1	5684
1	7838
1	6227
1	7800
1	6553
1	4926
1	4355
1	7884
1	3790
1	3591
1	5000
1	7946
1	7176
1	3557
1	90
1	3479
1	7068
1	10553
1	157
1	3720
1	6394
1	7139
1	8170
1	6245
1	7203
1	3996
1	6989
1	3847
1	6863
1	5494
1	8137
1	8009
1	3113
1	7462
1	7219
1	7426
1	5662
1	7914
1	4454
1	6650
1	3801
1	6203
1	3796
1	10581
1	6432
1	10319
1	6433
1	7806
1	5760
1	7284
1	7365
1	2918
1	10395
1	4129
1	6525
1	10358
1	6597
1	7026
1	4309
1	5731
1	7133
1	8143
1	7019
1	1913
1	6469
1	199
1	7226
1	6545
1	7160
1	10361
1	7754
1	8118
1	5088
1	7903
1	6142
1	6467
1	7269
1	3703
1	1276
1	6555
1	7322
1	10302
1	6113
1	7254
1	8008
1	8078
1	6606
1	10562
1	2041
1	7223
1	7823
1	5790
1	7323
1	6470
1	7391
1	6949
1	8091
1	7061
1	7977
1	7318
1	8081
1	10355
3	1
6	1
7	3561
7	786
9	5050
13	668
13	7170
16	293
17	1323
17	701
22	668
22	7170
22	5855
22	5303
22	5881
25	1852
26	1785
27	2548
31	226
32	1
33	701
33	1
33	2497
33	2914
33	2548
34	1
34	3932
35	5691
38	5646
38	1225
38	1224
41	297
43	293
43	1785
45	293
46	701
46	1
48	668
48	48
48	1
49	1
50	293
52	3561
52	1852
55	10466
68	293
70	1
71	701
71	1290
71	1
71	786
71	3758
71	1755
72	5551
73	3940
73	685
74	2493
77	1
77	2548
80	97
81	701
81	1239
81	6250
81	3407
81	7207
83	668
83	7170
87	1225
88	1740
88	97
90	701
90	1
90	1239
93	1239
93	2495
93	8036
93	3561
93	2640
93	2698
93	7806
97	2914
97	3561
97	88
97	6984
97	7633
97	80
103	5646
103	5099
103	7326
109	1
109	109
109	2548
109	701
111	1
114	3561
114	701
114	7276
114	6481
114	7362
114	196
114	278
114	7910
114	8090
125	3847
127	226
127	127
127	297
131	1852
131	701
131	3561
132	668
132	7170
132	1914
137	5441
137	3561
137	6682
137	5443
137	5455
137	5448
137	5445
140	701
140	1
144	701
144	1
145	297
145	194
145	1909
145	3561
146	6984
157	1239
157	1
159	600
160	5646
163	701
174	1673
174	2529
174	1740
174	701
174	286
174	1239
174	3561
174	2914
174	2548
174	1
174	6654
174	1290
174	8355
174	2554
174	8013
174	1932
174	7884
174	3957
174	6071
174	3847
174	7068
174	6303
174	6469
174	297
174	6195
174	10515
174	6352
174	7343
174	7767
174	6199
174	5378
174	668
174	10641
174	4596
174	6113
174	6109
174	3549
174	1280
174	6973
174	10337
174	10584
174	10303
175	668
175	2966
194	3561
194	209
194	3909
194	145
195	1227
195	1740
196	1740
196	114
199	1
204	5050
209	194
209	4015
210	1239
217	5006
224	2603
224	8368
225	7066
225	225
225	1239
226	1740
226	3847
226	2150
226	127
226	31
226	1220
226	7397
226	4554
226	6508
226	5655
226	5726
234	266
237	3561
237	266
237	7016
237	10330
239	549
266	237
266	234
266	1225
266	4595
266	4912
268	3561
270	297
271	577
278	3561
278	6503
278	6332
278	3548
278	3905
278	114
278	278
278	3596
278	8140
286	1
286	3333
286	568
286	1673
286	701
286	5696
286	3491
286	6172
286	3561
286	4000
286	3300
286	2548
286	4565
286	174
286	1740
286	1755
286	517
286	2497
286	702
286	1890
286	1800
286	5400
286	1270
286	2914
286	5388
286	3257
286	293
286	3847
286	7170
286	668
286	297
286	6113
286	1899
286	3915
286	286
286	4200
286	790
286	2828
286	3951
286	2551
286	2041
286	1836
286	2116
286	3220
286	3967
286	1891
286	3320
286	3356
286	1746
286	1901
286	3407
286	2118
286	6066
286	2110
286	6196
286	6461
286	2610
286	4436
286	3245
286	4540
286	5389
286	3327
286	2819
286	5474
286	1897
286	2134
286	5378
286	5606
286	6879
286	6660
286	4553
286	3914
286	3763
286	6205
288	297
288	1890
290	2548
291	293
292	293
293	16
293	1740
293	5378
293	701
293	286
293	1239
293	3561
293	2914
293	1225
293	45
293	292
293	68
293	50
293	6406
293	3428
293	3429
293	43
293	683
293	3152
293	377
293	3671
293	3506
293	291
293	2640
293	3431
293	2548
293	3380
293	5646
297	668
297	701
297	2497
297	41
297	1740
297	5413
297	3561
297	2548
297	2914
297	1239
297	286
297	127
297	6481
297	270
297	1842
297	288
297	2513
297	3488
297	1263
297	6629
297	145
297	1254
297	174
297	1749
297	3218
297	3847
297	4511
297	3134
299	1852
376	3493
377	1334
377	377
377	293
378	3339
400	568
400	724
419	450
423	1913
450	1913
450	419
450	1589
450	1573
454	1913
456	1913
466	1913
488	1913
489	1913
509	1913
513	3561
513	6679
513	789
513	3350
517	1849
517	286
517	3257
517	1755
517	5501
517	6827
517	5407
544	2853
549	239
549	577
549	802
549	808
552	1913
555	1239
557	701
557	1
559	1133
559	6679
561	1
565	1741
568	721
568	1740
568	3847
568	1239
568	286
568	3561
568	2914
568	2548
568	400
568	1913
568	724
568	1914
568	4200
568	5927
577	852
577	3561
577	6463
577	577
577	549
577	6453
577	271
577	803
577	684
577	854
577	855
577	800
577	3804
577	8187
577	2652
577	839
577	691
577	831
577	838
591	2493
600	159
600	3561
600	6640
600	3112
600	7888
611	855
613	6347
613	613
613	1
625	1
636	1913
636	3472
655	1913
668	22
668	1740
668	297
