seed,measure,k,exact,estimate,absolute_error,seconds
0,average_vertex_betweenness,10,297.73,327.81,30.079999999999984,0.004934000025968999
0,average_vertex_betweenness,30,297.73,311.27,13.539999999999964,0.013878699974156916
0,average_vertex_betweenness,60,297.73,300.64,2.909999999999968,0.027495099988300353
0,average_vertex_betweenness,100,297.73,295.64,2.090000000000032,0.04583750001620501
0,average_vertex_betweenness,200,297.73,296.31,1.420000000000016,0.09132860001409426
0,average_vertex_betweenness,300,297.73,297.73,0.0,0.13642980001168326
0,average_edge_betweenness,10,150.75,161.07,10.319999999999993,0.0059201999683864415
0,average_edge_betweenness,30,150.75,155.54,4.789999999999992,0.016877799993380904
0,average_edge_betweenness,60,150.75,151.88,1.1299999999999955,0.0333851000177674
0,average_edge_betweenness,100,150.75,150.14,0.6100000000000136,0.05526549997739494
0,average_edge_betweenness,200,150.75,150.37,0.37999999999999545,0.1108572999946773
0,average_edge_betweenness,300,150.75,150.75,0.0,0.1641853000037372
0,natural_connectivity,10,6.22,6.21,0.009999999999999787,0.005914099980145693
0,natural_connectivity,30,6.22,6.22,0.0,0.009104900003876537
0,natural_connectivity,60,6.22,6.22,0.0,0.016304100048728287
0,natural_connectivity,100,6.22,6.22,0.0,0.024895999988075346
0,natural_connectivity,200,6.22,6.22,0.0,0.01372099999571219
0,natural_connectivity,300,6.22,6.22,0.0,0.004234099993482232
0,number_spanning_trees,10,2.582786711725957e+186,0.04,2.582786711725957e+186,0.02120610000565648
0,number_spanning_trees,30,2.582786711725957e+186,1150.02,2.582786711725957e+186,0.024348400009330362
0,number_spanning_trees,60,2.582786711725957e+186,5787242110742.77,2.582786711725957e+186,0.041580199962481856
0,number_spanning_trees,100,2.582786711725957e+186,2.5358428692843856e+29,2.582786711725957e+186,0.08046710002236068
0,number_spanning_trees,200,2.582786711725957e+186,1.6883506272338515e+87,2.582786711725957e+186,0.014134700002614409
0,number_spanning_trees,300,2.582786711725957e+186,2.582786711725957e+186,0.0,0.004570999997667968
0,effective_resistance,10,26054.16,2032.33,24021.83,0.020633200008887798
0,effective_resistance,30,26054.16,5648.1,20406.059999999998,0.023919599945656955
0,effective_resistance,60,26054.16,9931.65,16122.51,0.04333419998874888
0,effective_resistance,100,26054.16,14542.25,11511.91,0.07582739996723831
0,effective_resistance,200,26054.16,22640.87,3413.290000000001,0.014823800011072308
0,effective_resistance,300,26054.16,26054.16,0.0,0.00451589998556301
1,average_vertex_betweenness,10,303.85,297.83,6.020000000000039,0.004704000020865351
1,average_vertex_betweenness,30,303.85,292.74,11.110000000000014,0.013738700014073402
1,average_vertex_betweenness,60,303.85,303.9,0.049999999999954525,0.027331900026183575
1,average_vertex_betweenness,100,303.85,305.15,1.2999999999999545,0.04601620003813878
1,average_vertex_betweenness,200,303.85,303.43,0.4200000000000159,0.09982180001679808
1,average_vertex_betweenness,300,303.85,303.85,0.0,0.1358773999963887
1,average_edge_betweenness,10,152.81,150.88,1.9300000000000068,0.006335499987471849
1,average_edge_betweenness,30,152.81,148.97,3.8400000000000034,0.01682520000031218
1,average_edge_betweenness,60,152.81,152.85,0.03999999999999204,0.033106500050053
1,average_edge_betweenness,100,152.81,153.3,0.4900000000000091,0.054862899996805936
1,average_edge_betweenness,200,152.81,152.65,0.1599999999999966,0.10915680002653971
1,average_edge_betweenness,300,152.81,152.81,0.0,0.16366079996805638
1,natural_connectivity,10,6.35,6.35,0.0,0.005337000009603798
1,natural_connectivity,30,6.35,6.35,0.0,0.008967700006905943
1,natural_connectivity,60,6.35,6.35,0.0,0.01633350003976375
1,natural_connectivity,100,6.35,6.35,0.0,0.05175210000015795
1,natural_connectivity,200,6.35,6.35,0.0,0.013517100014723837
1,natural_connectivity,300,6.35,6.35,0.0,0.004220600007101893
1,number_spanning_trees,10,2.1389484085512343e+187,0.03,2.1389484085512343e+187,0.016116400016471744
1,number_spanning_trees,30,2.1389484085512343e+187,472.96,2.1389484085512343e+187,0.024114999978337437
1,number_spanning_trees,60,2.1389484085512343e+187,1898842803338.56,2.1389484085512343e+187,0.042811800027266145
1,number_spanning_trees,100,2.1389484085512343e+187,5.986682103644642e+28,2.1389484085512343e+187,0.07260539999697357
1,number_spanning_trees,200,2.1389484085512343e+187,1.0724401669427479e+88,2.1389484085512343e+187,0.014652499987278134
1,number_spanning_trees,300,2.1389484085512343e+187,2.1389484085512343e+187,0.0,0.004571700002998114
1,effective_resistance,10,26060.2,2132.68,23927.52,0.016421300009824336
1,effective_resistance,30,26060.2,5834.7,20225.5,0.023154199996497482
1,effective_resistance,60,26060.2,10152.28,15907.92,0.04240919998846948
1,effective_resistance,100,26060.2,14801.26,11258.94,0.07799669995438308
1,effective_resistance,200,26060.2,22665.76,3394.4400000000023,0.014338099979795516
1,effective_resistance,300,26060.2,26060.2,0.0,0.004582400026265532
2,average_vertex_betweenness,10,304.77,296.38,8.389999999999986,0.004664000007323921
2,average_vertex_betweenness,30,304.77,315.18,10.410000000000025,0.01407959999050945
2,average_vertex_betweenness,60,304.77,318.73,13.960000000000036,0.02712080004857853
2,average_vertex_betweenness,100,304.77,316.98,12.210000000000036,0.04511589999310672
2,average_vertex_betweenness,200,304.77,305.73,0.9600000000000364,0.09036200004629791
2,average_vertex_betweenness,300,304.77,304.77,0.0,0.13511899998411536
2,average_edge_betweenness,10,153.13,150.19,2.9399999999999977,0.005867799976840615
2,average_edge_betweenness,30,153.13,156.79,3.6599999999999966,0.016690799966454506
2,average_edge_betweenness,60,153.13,158.02,4.890000000000015,0.03350809996481985
2,average_edge_betweenness,100,153.13,157.44,4.310000000000002,0.05474099999992177
2,average_edge_betweenness,200,153.13,153.41,0.28000000000000114,0.10905339999590069
2,average_edge_betweenness,300,153.13,153.13,0.0,0.16468210000311956
2,natural_connectivity,10,6.08,6.07,0.009999999999999787,0.005188899987842888
2,natural_connectivity,30,6.08,6.08,0.0,0.008467799983918667
2,natural_connectivity,60,6.08,6.08,0.0,0.01683999999659136
2,natural_connectivity,100,6.08,6.08,0.0,0.025685600005090237
2,natural_connectivity,200,6.08,6.08,0.0,0.013546100002713501
2,natural_connectivity,300,6.08,6.08,0.0,0.004685599997173995
2,number_spanning_trees,10,1.6404905151567056e+187,0.02,1.6404905151567056e+187,0.012070299999322742
2,number_spanning_trees,30,1.6404905151567056e+187,471.17,1.6404905151567056e+187,0.023131199995987117
2,number_spanning_trees,60,1.6404905151567056e+187,1841611289083.08,1.6404905151567056e+187,0.04083780001383275
2,number_spanning_trees,100,1.6404905151567056e+187,6.899108109401899e+28,1.6404905151567056e+187,0.06670050002867356
2,number_spanning_trees,200,1.6404905151567056e+187,8.29142386893094e+87,1.6404905151567056e+187,0.014273600012529641
2,number_spanning_trees,300,1.6404905151567056e+187,1.6404905151567056e+187,0.0,0.004570100049022585
2,effective_resistance,10,26064.58,2168.86,23895.72,0.01476989994989708
2,effective_resistance,30,26064.58,5842.6,20221.980000000003,0.02476649999152869
2,effective_resistance,60,26064.58,10162.39,15902.190000000002,0.04058570001507178
2,effective_resistance,100,26064.58,14791.77,11272.810000000001,0.06716739997500554
2,effective_resistance,200,26064.58,22668.35,3396.230000000003,0.014319600013550371
2,effective_resistance,300,26064.58,26064.58,0.0,0.004578599997330457
3,average_vertex_betweenness,10,300.77,302.1,1.330000000000041,0.004610399948433042
3,average_vertex_betweenness,30,300.77,296.37,4.399999999999977,0.013500100001692772
3,average_vertex_betweenness,60,300.77,302.09,1.3199999999999932,0.026805700035765767
3,average_vertex_betweenness,100,300.77,298.24,2.5299999999999727,0.04463030002079904
3,average_vertex_betweenness,200,300.77,297.89,2.8799999999999955,0.08988439996028319
3,average_vertex_betweenness,300,300.77,300.77,0.0,0.13335419999202713
3,average_edge_betweenness,10,151.78,152.06,0.28000000000000114,0.005885299993678927
3,average_edge_betweenness,30,151.78,150.38,1.4000000000000057,0.01711260003503412
3,average_edge_betweenness,60,151.78,152.39,0.6099999999999852,0.03365609998581931
3,average_edge_betweenness,100,151.78,151.01,0.7700000000000102,0.055464599980041385
3,average_edge_betweenness,200,151.78,150.78,1.0,0.11011989996768534
3,average_edge_betweenness,300,151.78,151.78,0.0,0.16322699998272583
3,natural_connectivity,10,6.39,6.38,0.009999999999999787,0.004624699999112636
3,natural_connectivity,30,6.39,6.38,0.009999999999999787,0.00905539997620508
3,natural_connectivity,60,6.39,6.38,0.009999999999999787,0.01683849998516962
3,natural_connectivity,100,6.39,6.39,0.0,0.02630139997927472
3,natural_connectivity,200,6.39,6.39,0.0,0.013578200014308095
3,natural_connectivity,300,6.39,6.39,0.0,0.004746799997519702
3,number_spanning_trees,10,4.306277109519782e+186,0.03,4.306277109519782e+186,0.015740000002551824
3,number_spanning_trees,30,4.306277109519782e+186,384.36,4.306277109519782e+186,0.02359150000847876
3,number_spanning_trees,60,4.306277109519782e+186,1225237546904.39,4.306277109519782e+186,0.03818809997756034
3,number_spanning_trees,100,4.306277109519782e+186,5.398857555303022e+28,4.306277109519782e+186,0.0664898999966681
3,number_spanning_trees,200,4.306277109519782e+186,2.9260613537697115e+88,4.306277109519782e+186,0.01442939997650683
3,number_spanning_trees,300,4.306277109519782e+186,4.306277109519782e+186,0.0,0.004594700003508478
3,effective_resistance,10,26113.67,2157.62,23956.05,0.01691539998864755
3,effective_resistance,30,26113.67,5877.14,20236.53,0.023922599968500435
3,effective_resistance,60,26113.67,10226.54,15887.129999999997,0.040011600009165704
3,effective_resistance,100,26113.67,14838.04,11275.629999999997,0.06744529999559745
3,effective_resistance,200,26113.67,22611.67,3502.0,0.014447599998675287
3,effective_resistance,300,26113.67,26113.67,0.0,0.004580000007990748
4,average_vertex_betweenness,10,322.98,316.41,6.569999999999993,0.0046390999923460186
4,average_vertex_betweenness,30,322.98,319.09,3.890000000000043,0.013629699999000877
4,average_vertex_betweenness,60,322.98,324.28,1.2999999999999545,0.027370000025257468
4,average_vertex_betweenness,100,322.98,321.29,1.6899999999999977,0.045282899984158576
4,average_vertex_betweenness,200,322.98,322.0,0.9800000000000182,0.0913742000120692
4,average_vertex_betweenness,300,322.98,322.98,0.0,0.1356114000082016
4,average_edge_betweenness,10,159.8,157.46,2.3400000000000034,0.005898900039028376
4,average_edge_betweenness,30,159.8,158.55,1.25,0.017294299963396043
4,average_edge_betweenness,60,159.8,160.35,0.549999999999983,0.0336267999955453
4,average_edge_betweenness,100,159.8,159.35,0.45000000000001705,0.05483300000196323
4,average_edge_betweenness,200,159.8,159.53,0.27000000000001023,0.10990659997332841
4,average_edge_betweenness,300,159.8,159.8,0.0,0.1641914999927394
4,natural_connectivity,10,5.17,5.14,0.03000000000000025,0.004849900025874376
4,natural_connectivity,30,5.17,5.16,0.009999999999999787,0.008920599997509271
4,natural_connectivity,60,5.17,5.17,0.0,0.0161717000300996
4,natural_connectivity,100,5.17,5.17,0.0,0.02490000001853332
4,natural_connectivity,200,5.17,5.17,0.0,0.013897700002416968
4,natural_connectivity,300,5.17,5.17,0.0,0.004390699963551015
4,number_spanning_trees,10,2.9059429037147864e+189,0.02,2.9059429037147864e+189,0.013688899984117597
4,number_spanning_trees,30,2.9059429037147864e+189,246.17,2.9059429037147864e+189,0.023880099994130433
4,number_spanning_trees,60,2.9059429037147864e+189,618871517406.07,2.9059429037147864e+189,0.04210280004190281
4,number_spanning_trees,100,2.9059429037147864e+189,1.284565150463496e+28,2.9059429037147864e+189,0.061072299955412745
4,number_spanning_trees,200,2.9059429037147864e+189,1.730033797186191e+89,2.9059429037147864e+189,0.014917199965566397
4,number_spanning_trees,300,2.9059429037147864e+189,2.9059429037147864e+189,0.0,0.004956500022672117
4,effective_resistance,10,25849.28,2206.7,23642.579999999998,0.013786600029561669
4,effective_resistance,30,25849.28,5975.72,19873.559999999998,0.022239999962039292
4,effective_resistance,60,25849.28,10359.29,15489.989999999998,0.04003400000510737
4,effective_resistance,100,25849.28,15060.45,10788.829999999998,0.05821079999441281
4,effective_resistance,200,25849.28,22590.69,3258.59,0.014570500003173947
4,effective_resistance,300,25849.28,25849.28,0.0,0.004769999999552965
