policy,seed,step,value,r
motter_lai,7,0,0.9705882352941176,0.2
motter_lai,7,1,0.5294117647058824,0.2
motter_lai,7,2,0.5294117647058824,0.2
motter_lai,7,3,0.5294117647058824,0.2
motter_lai,7,4,0.5294117647058824,0.2
motter_lai,7,5,0.5294117647058824,0.2
motter_lai,7,6,0.5294117647058824,0.2
motter_lai,7,7,0.5294117647058824,0.2
motter_lai,7,8,0.5294117647058824,0.2
motter_lai,7,9,0.5294117647058824,0.2
motter_lai,7,10,0.5294117647058824,0.2
motter_lai,7,11,0.5294117647058824,0.2
motter_lai,7,12,0.5294117647058824,0.2
motter_lai,7,13,0.5294117647058824,0.2
motter_lai,7,14,0.5294117647058824,0.2
motter_lai,7,15,0.5294117647058824,0.2
motter_lai,7,16,0.5294117647058824,0.2
motter_lai,7,17,0.5294117647058824,0.2
motter_lai,7,18,0.5294117647058824,0.2
motter_lai,7,19,0.5294117647058824,0.2
motter_lai,7,20,0.5294117647058824,0.2
motter_lai,7,0,0.9705882352941176,0.5
motter_lai,7,1,0.5588235294117647,0.5
motter_lai,7,2,0.5588235294117647,0.5
motter_lai,7,3,0.5588235294117647,0.5
motter_lai,7,4,0.5588235294117647,0.5
motter_lai,7,5,0.5588235294117647,0.5
motter_lai,7,6,0.5588235294117647,0.5
motter_lai,7,7,0.5588235294117647,0.5
motter_lai,7,8,0.5588235294117647,0.5
motter_lai,7,9,0.5588235294117647,0.5
motter_lai,7,10,0.5588235294117647,0.5
motter_lai,7,11,0.5588235294117647,0.5
motter_lai,7,12,0.5588235294117647,0.5
motter_lai,7,13,0.5588235294117647,0.5
motter_lai,7,14,0.5588235294117647,0.5
motter_lai,7,15,0.5588235294117647,0.5
motter_lai,7,16,0.5588235294117647,0.5
motter_lai,7,17,0.5588235294117647,0.5
motter_lai,7,18,0.5588235294117647,0.5
motter_lai,7,19,0.5588235294117647,0.5
motter_lai,7,20,0.5588235294117647,0.5
motter_lai,7,0,0.9705882352941176,1.0
motter_lai,7,1,0.7352941176470589,1.0
motter_lai,7,2,0.7058823529411765,1.0
motter_lai,7,3,0.6470588235294118,1.0
motter_lai,7,4,0.6176470588235294,1.0
motter_lai,7,5,0.6176470588235294,1.0
motter_lai,7,6,0.6176470588235294,1.0
motter_lai,7,7,0.6176470588235294,1.0
motter_lai,7,8,0.6176470588235294,1.0
motter_lai,7,9,0.6176470588235294,1.0
motter_lai,7,10,0.6176470588235294,1.0
motter_lai,7,11,0.6176470588235294,1.0
motter_lai,7,12,0.6176470588235294,1.0
motter_lai,7,13,0.6176470588235294,1.0
motter_lai,7,14,0.6176470588235294,1.0
motter_lai,7,15,0.6176470588235294,1.0
motter_lai,7,16,0.6176470588235294,1.0
motter_lai,7,17,0.6176470588235294,1.0
motter_lai,7,18,0.6176470588235294,1.0
motter_lai,7,19,0.6176470588235294,1.0
motter_lai,7,20,0.6176470588235294,1.0
crucitti,7,0,0.931363595193524,0.2
crucitti,7,1,0.6692952465163438,0.2
crucitti,7,2,0.6775503720968639,0.2
crucitti,7,3,0.6217341906706683,0.2
