policy,seed,step,value,outcome
beta=0,7,0,1.0,failed
beta=0,7,1,14.0,failed
beta=0,7,2,25.0,failed
beta=0,7,3,48.0,failed
beta=0,7,4,96.0,failed
beta=0,7,5,151.0,failed
beta=0,7,6,224.0,failed
beta=0,7,7,312.0,failed
beta=0,7,8,453.0,failed
beta=0,7,9,599.0,failed
beta=0,7,10,748.0,failed
beta=0,7,11,891.0,failed
beta=0,7,12,1020.0,failed
beta=0,7,13,1189.0,failed
beta=0,7,14,1391.0,failed
beta=0,7,15,1663.0,failed
beta=0,7,16,2021.0,failed
beta=0,7,17,2405.0,failed
beta=0,7,18,2773.0,failed
beta=0,7,19,3169.0,failed
beta=0,7,20,3516.0,failed
beta=0,7,0,0.0,lost_load
beta=0,7,1,0.0,lost_load
beta=0,7,2,5.0,lost_load
beta=0,7,3,19.0,lost_load
beta=0,7,4,77.5,lost_load
beta=0,7,5,147.2428571428571,lost_load
beta=0,7,6,342.67785714285736,lost_load
beta=0,7,7,446.48251133786874,lost_load
beta=0,7,8,611.2440625,lost_load
beta=0,7,9,941.9562379535147,lost_load
beta=0,7,10,1354.268789864154,lost_load
beta=0,7,11,1704.7438306831043,lost_load
beta=0,7,12,2166.509759728781,lost_load
beta=0,7,13,2457.1149392099283,lost_load
beta=0,7,14,2828.0395113205714,lost_load
beta=0,7,15,3171.946581512013,lost_load
beta=0,7,16,3568.7242909015176,lost_load
beta=0,7,17,4212.832303643319,lost_load
beta=0,7,18,4976.153026581551,lost_load
beta=0,7,19,5944.416509148823,lost_load
beta=0,7,20,7200.084563909553,lost_load
beta=1,7,0,1.0,failed
beta=1,7,1,20.0,failed
beta=1,7,2,45.0,failed
beta=1,7,3,77.0,failed
beta=1,7,4,135.0,failed
beta=1,7,5,194.0,failed
beta=1,7,6,270.0,failed
beta=1,7,7,374.0,failed
beta=1,7,8,509.0,failed
beta=1,7,9,654.0,failed
beta=1,7,10,803.0,failed
beta=1,7,11,930.0,failed
beta=1,7,12,1043.0,failed
beta=1,7,13,1207.0,failed
beta=1,7,14,1430.0,failed
beta=1,7,15,1764.0,failed
beta=1,7,16,2199.0,failed
beta=1,7,17,2637.0,failed
beta=1,7,18,3039.0,failed
beta=1,7,19,3414.0,failed
beta=1,7,20,3714.0,failed
beta=1,7,0,0.0,lost_load
beta=1,7,1,0.0,lost_load
beta=1,7,2,22.885714285714286,lost_load
beta=1,7,3,68.93621888946966,lost_load
beta=1,7,4,118.23747564217076,lost_load
beta=1,7,5,251.03646400280334,lost_load
beta=1,7,6,408.3375253144276,lost_load
beta=1,7,7,525.8941873417995,lost_load
beta=1,7,8,745.3733025948949,lost_load
beta=1,7,9,1023.970272971354,lost_load
beta=1,7,10,1396.9926952383914,lost_load
beta=1,7,11,1779.1797857855727,lost_load
beta=1,7,12,2304.8300184905024,lost_load
beta=1,7,13,2515.9164559651667,lost_load
beta=1,7,14,2825.723321955969,lost_load
beta=1,7,15,3137.474872083774,lost_load
beta=1,7,16,3612.7092667722873,lost_load
beta=1,7,17,4362.941276115679,lost_load
beta=1,7,18,5320.855851655827,lost_load
beta=1,7,19,6503.07505343166,lost_load
beta=1,7,20,7742.526012572803,lost_load
beta=2,7,0,1.0,failed
beta=2,7,1,8.0,failed
beta=2,7,2,32.0,failed
beta=2,7,3,58.0,failed
beta=2,7,4,94.0,failed
beta=2,7,5,150.0,failed
beta=2,7,6,204.0,failed
beta=2,7,7,288.0,failed
beta=2,7,8,389.0,failed
beta=2,7,9,521.0,failed
beta=2,7,10,673.0,failed
beta=2,7,11,807.0,failed
beta=2,7,12,937.0,failed
beta=2,7,13,1096.0,failed
beta=2,7,14,1302.0,failed
beta=2,7,15,1594.0,failed
beta=2,7,16,1999.0,failed
beta=2,7,17,2417.0,failed
beta=2,7,18,2802.0,failed
beta=2,7,19,3143.0,failed
beta=2,7,20,3459.0,failed
beta=2,7,0,0.0,lost_load
beta=2,7,1,0.0,lost_load
beta=2,7,2,0.0,lost_load
beta=2,7,3,57.55670117274393,lost_load
beta=2,7,4,105.98978996878202,lost_load
beta=2,7,5,186.76542943080725,lost_load
beta=2,7,6,263.8751871045733,lost_load
beta=2,7,7,341.8406308011509,lost_load
beta=2,7,8,595.1176174785791,lost_load
beta=2,7,9,767.9457554502973,lost_load
beta=2,7,10,1020.7123210573518,lost_load
beta=2,7,11,1416.8076275919545,lost_load
beta=2,7,12,1984.374611637255,lost_load
beta=2,7,13,2286.7022199759494,lost_load
beta=2,7,14,2622.29592663107,lost_load
beta=2,7,15,2961.256479678839,lost_load
beta=2,7,16,3362.876441420146,lost_load
beta=2,7,17,3915.726953605946,lost_load
beta=2,7,18,4784.812728350179,lost_load
beta=2,7,19,6023.339025397217,lost_load
beta=2,7,20,7143.171614898671,lost_load
