policy,seed,step,value
none,0,0,1.0
none,0,1,0.9705882352941176
none,0,2,0.7647058823529411
none,0,3,0.5882352941176471
none,0,4,0.47058823529411764
none,0,5,0.23529411764705882
none,0,6,0.23529411764705882
none,0,7,0.23529411764705882
none,0,8,0.14705882352941177
none,1,0,1.0
none,1,1,0.9705882352941176
none,1,2,0.7647058823529411
none,1,3,0.5882352941176471
none,1,4,0.47058823529411764
none,1,5,0.23529411764705882
none,1,6,0.23529411764705882
none,1,7,0.23529411764705882
none,1,8,0.14705882352941177
none,2,0,1.0
none,2,1,0.9705882352941176
none,2,2,0.7647058823529411
none,2,3,0.5882352941176471
none,2,4,0.47058823529411764
none,2,5,0.23529411764705882
none,2,6,0.23529411764705882
none,2,7,0.23529411764705882
none,2,8,0.14705882352941177
none,3,0,1.0
none,3,1,0.9705882352941176
none,3,2,0.7647058823529411
none,3,3,0.5882352941176471
none,3,4,0.47058823529411764
none,3,5,0.23529411764705882
none,3,6,0.23529411764705882
none,3,7,0.23529411764705882
none,3,8,0.14705882352941177
none,4,0,1.0
none,4,1,0.9705882352941176
none,4,2,0.7647058823529411
none,4,3,0.5882352941176471
none,4,4,0.47058823529411764
none,4,5,0.23529411764705882
none,4,6,0.23529411764705882
none,4,7,0.23529411764705882
none,4,8,0.14705882352941177
none,5,0,1.0
none,5,1,0.9705882352941176
none,5,2,0.7647058823529411
none,5,3,0.5882352941176471
none,5,4,0.47058823529411764
none,5,5,0.23529411764705882
none,5,6,0.23529411764705882
none,5,7,0.23529411764705882
none,5,8,0.14705882352941177
none,6,0,1.0
none,6,1,0.9705882352941176
none,6,2,0.7647058823529411
none,6,3,0.5882352941176471
none,6,4,0.47058823529411764
none,6,5,0.23529411764705882
none,6,6,0.23529411764705882
none,6,7,0.23529411764705882
none,6,8,0.14705882352941177
none,7,0,1.0
none,7,1,0.9705882352941176
none,7,2,0.7647058823529411
none,7,3,0.5882352941176471
none,7,4,0.47058823529411764
none,7,5,0.23529411764705882
none,7,6,0.23529411764705882
none,7,7,0.23529411764705882
none,7,8,0.14705882352941177
none,8,0,1.0
none,8,1,0.9705882352941176
none,8,2,0.7647058823529411
none,8,3,0.5882352941176471
none,8,4,0.47058823529411764
none,8,5,0.23529411764705882
none,8,6,0.23529411764705882
none,8,7,0.23529411764705882
none,8,8,0.14705882352941177
none,9,0,1.0
none,9,1,0.9705882352941176
none,9,2,0.7647058823529411
none,9,3,0.5882352941176471
none,9,4,0.47058823529411764
none,9,5,0.23529411764705882
none,9,6,0.23529411764705882
none,9,7,0.23529411764705882
none,9,8,0.14705882352941177
none,10,0,1.0
none,10,1,0.9705882352941176
none,10,2,0.7647058823529411
none,10,3,0.5882352941176471
none,10,4,0.47058823529411764
none,10,5,0.23529411764705882
none,10,6,0.23529411764705882
none,10,7,0.23529411764705882
none,10,8,0.14705882352941177
none,11,0,1.0
none,11,1,0.9705882352941176
none,11,2,0.7647058823529411
none,11,3,0.5882352941176471
none,11,4,0.47058823529411764
none,11,5,0.23529411764705882
none,11,6,0.23529411764705882
none,11,7,0.23529411764705882
none,11,8,0.14705882352941177
none,12,0,1.0
none,12,1,0.9705882352941176
none,12,2,0.7647058823529411
none,12,3,0.5882352941176471
none,12,4,0.47058823529411764
none,12,5,0.23529411764705882
none,12,6,0.23529411764705882
none,12,7,0.23529411764705882
none,12,8,0.14705882352941177
none,13,0,1.0
none,13,1,0.9705882352941176
none,13,2,0.7647058823529411
none,13,3,0.5882352941176471
none,13,4,0.47058823529411764
none,13,5,0.23529411764705882
none,13,6,0.23529411764705882
none,13,7,0.23529411764705882
none,13,8,0.14705882352941177
none,14,0,1.0
none,14,1,0.9705882352941176
none,14,2,0.7647058823529411
none,14,3,0.5882352941176471
none,14,4,0.47058823529411764
none,14,5,0.23529411764705882
none,14,6,0.23529411764705882
none,14,7,0.23529411764705882
none,14,8,0.14705882352941177
none,15,0,1.0
none,15,1,0.9705882352941176
none,15,2,0.7647058823529411
none,15,3,0.5882352941176471
none,15,4,0.47058823529411764
none,15,5,0.23529411764705882
none,15,6,0.23529411764705882
none,15,7,0.23529411764705882
none,15,8,0.14705882352941177
none,16,0,1.0
none,16,1,0.9705882352941176
none,16,2,0.7647058823529411
none,16,3,0.5882352941176471
none,16,4,0.47058823529411764
none,16,5,0.23529411764705882
none,16,6,0.23529411764705882
none,16,7,0.23529411764705882
none,16,8,0.14705882352941177
none,17,0,1.0
none,17,1,0.9705882352941176
none,17,2,0.7647058823529411
none,17,3,0.5882352941176471
none,17,4,0.47058823529411764
none,17,5,0.23529411764705882
none,17,6,0.23529411764705882
none,17,7,0.23529411764705882
none,17,8,0.14705882352941177
none,18,0,1.0
none,18,1,0.9705882352941176
none,18,2,0.7647058823529411
none,18,3,0.5882352941176471
none,18,4,0.47058823529411764
none,18,5,0.23529411764705882
none,18,6,0.23529411764705882
none,18,7,0.23529411764705882
none,18,8,0.14705882352941177
none,19,0,1.0
none,19,1,0.9705882352941176
none,19,2,0.7647058823529411
none,19,3,0.5882352941176471
none,19,4,0.47058823529411764
none,19,5,0.23529411764705882
none,19,6,0.23529411764705882
none,19,7,0.23529411764705882
none,19,8,0.14705882352941177
rnd_node,0,0,1.0
rnd_node,0,1,0.9705882352941176
rnd_node,0,2,0.7647058823529411
rnd_node,0,3,0.5882352941176471
rnd_node,0,4,0.47058823529411764
rnd_node,0,5,0.47058823529411764
rnd_node,0,6,0.4117647058823529
rnd_node,0,7,0.4117647058823529
rnd_node,0,8,0.4117647058823529
rnd_node,1,0,1.0
rnd_node,1,1,0.9705882352941176
rnd_node,1,2,0.9705882352941176
rnd_node,1,3,0.7941176470588235
rnd_node,1,4,0.7941176470588235
rnd_node,1,5,0.7352941176470589
rnd_node,1,6,0.7058823529411765
rnd_node,1,7,0.6764705882352942
rnd_node,1,8,0.5882352941176471
rnd_node,2,0,1.0
rnd_node,2,1,0.9705882352941176
rnd_node,2,2,0.7647058823529411
rnd_node,2,3,0.5882352941176471
rnd_node,2,4,0.47058823529411764
rnd_node,2,5,0.47058823529411764
rnd_node,2,6,0.4117647058823529
rnd_node,2,7,0.4117647058823529
rnd_node,2,8,0.3235294117647059
rnd_node,3,0,1.0
rnd_node,3,1,0.9705882352941176
rnd_node,3,2,0.7647058823529411
rnd_node,3,3,0.5882352941176471
rnd_node,3,4,0.47058823529411764
rnd_node,3,5,0.23529411764705882
rnd_node,3,6,0.23529411764705882
rnd_node,3,7,0.23529411764705882
rnd_node,3,8,0.23529411764705882
rnd_node,4,0,1.0
rnd_node,4,1,0.9705882352941176
rnd_node,4,2,0.7647058823529411
rnd_node,4,3,0.5882352941176471
rnd_node,4,4,0.47058823529411764
rnd_node,4,5,0.23529411764705882
rnd_node,4,6,0.23529411764705882
rnd_node,4,7,0.23529411764705882
rnd_node,4,8,0.14705882352941177
rnd_node,5,0,1.0
rnd_node,5,1,0.9705882352941176
rnd_node,5,2,0.7647058823529411
rnd_node,5,3,0.5882352941176471
rnd_node,5,4,0.47058823529411764
rnd_node,5,5,0.23529411764705882
rnd_node,5,6,0.23529411764705882
rnd_node,5,7,0.23529411764705882
rnd_node,5,8,0.14705882352941177
rnd_node,6,0,1.0
rnd_node,6,1,0.9705882352941176
rnd_node,6,2,0.7647058823529411
rnd_node,6,3,0.5882352941176471
rnd_node,6,4,0.47058823529411764
rnd_node,6,5,0.23529411764705882
rnd_node,6,6,0.23529411764705882
rnd_node,6,7,0.23529411764705882
rnd_node,6,8,0.14705882352941177
rnd_node,7,0,1.0
rnd_node,7,1,0.9705882352941176
