model,run,step,node_or_outcome,value
independent_cascade,0,0,A,1
independent_cascade,0,0,B,0
independent_cascade,0,0,C,0
independent_cascade,0,0,D,0
independent_cascade,0,1,A,1
independent_cascade,0,1,B,1
independent_cascade,0,1,C,0
independent_cascade,0,1,D,0
independent_cascade,0,2,A,1
independent_cascade,0,2,B,1
independent_cascade,0,2,C,1
independent_cascade,0,2,D,1
linear_threshold,0,0,A,1
linear_threshold,0,0,C,0
linear_threshold,0,0,B,1
linear_threshold,0,0,D,0
linear_threshold,0,1,A,1
linear_threshold,0,1,C,1
linear_threshold,0,1,B,1
linear_threshold,0,1,D,0
linear_threshold,0,2,A,1
linear_threshold,0,2,C,1
linear_threshold,0,2,B,1
linear_threshold,0,2,D,1
voter,0,0,tracked_state_1,10
voter,0,1,tracked_state_1,9
voter,0,2,tracked_state_1,9
voter,0,3,tracked_state_1,9
voter,0,4,tracked_state_1,9
voter,0,5,tracked_state_1,9
voter,0,6,tracked_state_1,9
voter,0,7,tracked_state_1,9
voter,0,8,tracked_state_1,9
voter,0,9,tracked_state_1,9
voter,0,10,tracked_state_1,9
voter,0,11,tracked_state_1,9
voter,0,12,tracked_state_1,9
voter,0,13,tracked_state_1,9
voter,0,14,tracked_state_1,9
voter,0,15,tracked_state_1,9
voter,0,16,tracked_state_1,9
voter,0,17,tracked_state_1,9
voter,0,18,tracked_state_1,10
voter,0,19,tracked_state_1,10
voter,0,20,tracked_state_1,10
voter,0,21,tracked_state_1,10
voter,0,22,tracked_state_1,10
voter,0,23,tracked_state_1,10
voter,0,24,tracked_state_1,10
voter,0,25,tracked_state_1,10
voter,0,26,tracked_state_1,10
voter,0,27,tracked_state_1,10
voter,0,28,tracked_state_1,10
voter,0,29,tracked_state_1,9
voter,0,30,tracked_state_1,9
voter,0,31,tracked_state_1,9
voter,0,32,tracked_state_1,9
voter,0,33,tracked_state_1,9
voter,0,34,tracked_state_1,9
voter,0,35,tracked_state_1,9
voter,0,36,tracked_state_1,9
voter,0,37,tracked_state_1,9
voter,0,38,tracked_state_1,9
voter,0,39,tracked_state_1,9
voter,0,40,tracked_state_1,9
voter,0,41,tracked_state_1,9
voter,0,42,tracked_state_1,9
voter,0,43,tracked_state_1,9
voter,0,44,tracked_state_1,9
voter,0,45,tracked_state_1,9
voter,0,46,tracked_state_1,9
voter,0,47,tracked_state_1,9
voter,0,48,tracked_state_1,9
voter,0,49,tracked_state_1,9
voter,0,50,tracked_state_1,9
voter,0,51,tracked_state_1,9
voter,0,52,tracked_state_1,9
voter,0,53,tracked_state_1,8
voter,0,54,tracked_state_1,8
voter,0,55,tracked_state_1,9
voter,0,56,tracked_state_1,9
voter,0,57,tracked_state_1,9
voter,0,58,tracked_state_1,9
voter,0,59,tracked_state_1,9
voter,0,60,tracked_state_1,9
voter,0,61,tracked_state_1,9
voter,0,62,tracked_state_1,8
voter,0,63,tracked_state_1,8
voter,0,64,tracked_state_1,8
voter,0,65,tracked_state_1,8
voter,0,66,tracked_state_1,8
voter,0,67,tracked_state_1,8
voter,0,68,tracked_state_1,8
voter,0,69,tracked_state_1,8
voter,0,70,tracked_state_1,8
voter,0,71,tracked_state_1,8
voter,0,72,tracked_state_1,8
voter,0,73,tracked_state_1,8
voter,0,74,tracked_state_1,8
voter,0,75,tracked_state_1,8
voter,0,76,tracked_state_1,8
voter,0,77,tracked_state_1,8
voter,0,78,tracked_state_1,8
voter,0,79,tracked_state_1,8
voter,0,80,tracked_state_1,7
voter,0,81,tracked_state_1,7
voter,0,82,tracked_state_1,7
voter,0,83,tracked_state_1,7
voter,0,84,tracked_state_1,7
voter,0,85,tracked_state_1,7
voter,0,86,tracked_state_1,7
voter,0,87,tracked_state_1,7
voter,0,88,tracked_state_1,7
voter,0,89,tracked_state_1,7
voter,0,90,tracked_state_1,7
voter,0,91,tracked_state_1,7
voter,0,92,tracked_state_1,7
voter,0,93,tracked_state_1,6
voter,0,94,tracked_state_1,5
voter,0,95,tracked_state_1,5
voter,0,96,tracked_state_1,5
voter,0,97,tracked_state_1,4
voter,0,98,tracked_state_1,4
voter,0,99,tracked_state_1,4
voter,0,100,tracked_state_1,4
voter,1,0,tracked_state_1,10
voter,1,1,tracked_state_1,10
voter,1,2,tracked_state_1,10
voter,1,3,tracked_state_1,10
voter,1,4,tracked_state_1,10
voter,1,5,tracked_state_1,10
voter,1,6,tracked_state_1,9
voter,1,7,tracked_state_1,9
voter,1,8,tracked_state_1,9
voter,1,9,tracked_state_1,9
voter,1,10,tracked_state_1,9
voter,1,11,tracked_state_1,9
voter,1,12,tracked_state_1,9
voter,1,13,tracked_state_1,9
voter,1,14,tracked_state_1,9
voter,1,15,tracked_state_1,9
voter,1,16,tracked_state_1,9
voter,1,17,tracked_state_1,9
voter,1,18,tracked_state_1,9
voter,1,19,tracked_state_1,9
voter,1,20,tracked_state_1,9
voter,1,21,tracked_state_1,9
voter,1,22,tracked_state_1,9
voter,1,23,tracked_state_1,9
voter,1,24,tracked_state_1,9
voter,1,25,tracked_state_1,9
voter,1,26,tracked_state_1,9
voter,1,27,tracked_state_1,9
voter,1,28,tracked_state_1,9
voter,1,29,tracked_state_1,9
voter,1,30,tracked_state_1,9
voter,1,31,tracked_state_1,8
voter,1,32,tracked_state_1,8
voter,1,33,tracked_state_1,8
voter,1,34,tracked_state_1,8
voter,1,35,tracked_state_1,8
voter,1,36,tracked_state_1,8
voter,1,37,tracked_state_1,8
voter,1,38,tracked_state_1,8
voter,1,39,tracked_state_1,8
voter,1,40,tracked_state_1,8
voter,1,41,tracked_state_1,8
voter,1,42,tracked_state_1,8
voter,1,43,tracked_state_1,8
voter,1,44,tracked_state_1,8
voter,1,45,tracked_state_1,8
voter,1,46,tracked_state_1,8
voter,1,47,tracked_state_1,8
voter,1,48,tracked_state_1,8
voter,1,49,tracked_state_1,8
voter,1,50,tracked_state_1,8
voter,1,51,tracked_state_1,8
voter,1,52,tracked_state_1,8
voter,1,53,tracked_state_1,8
voter,1,54,tracked_state_1,8
voter,1,55,tracked_state_1,8
voter,1,56,tracked_state_1,8
