example,demand,policy,source,recipient,transfer
single,12,degree,F,a,4.0
single,12,degree,F,b,4.0
single,12,degree,F,c,4.0
single,12,greedy,F,a,0.0
single,12,greedy,F,b,5.0
single,12,greedy,F,c,7.0
single,12,proportional,F,a,2.4
single,12,proportional,F,b,4.0
single,12,proportional,F,c,5.6
single,12,max_flow,F,a,3.0
single,12,max_flow,F,b,5.0
single,12,max_flow,F,c,4.0
single,18,degree,F,a,6.0
single,18,degree,F,b,6.0
single,18,degree,F,c,6.0
single,18,greedy,F,a,4.0
single,18,greedy,F,b,6.0
single,18,greedy,F,c,8.0
single,18,proportional,F,a,3.5999999999999996
single,18,proportional,F,b,6.000000000000001
single,18,proportional,F,c,8.4
single,18,max_flow,F,a,4.0
single,18,max_flow,F,b,6.0
single,18,max_flow,F,c,8.0
shared,12,degree,A,U,2.5
shared,12,degree,A,V,2.5
shared,12,degree,B,U,7.0
shared,12,greedy,A,U,5.0
shared,12,greedy,A,V,0.0
shared,12,greedy,B,U,7.0
shared,12,proportional,A,U,2.916666666666666
shared,12,proportional,A,V,2.083333333333333
shared,12,proportional,B,U,7.0
shared,12,max_flow,A,U,0.0
shared,12,max_flow,A,V,5.0
shared,12,max_flow,B,U,7.0
