policy,seed,step,value,outcome
beta=0,7,0,1.0,failed
beta=0,7,1,14.0,failed
beta=0,7,2,25.0,failed
beta=0,7,3,48.0,failed
beta=0,7,4,96.0,failed
beta=0,7,5,151.0,failed
beta=0,7,6,224.0,failed
beta=0,7,7,312.0,failed
beta=0,7,8,453.0,failed
beta=0,7,9,599.0,failed
beta=0,7,10,748.0,failed
beta=0,7,11,891.0,failed
beta=0,7,12,1020.0,failed
beta=0,7,13,1189.0,failed
beta=0,7,14,1391.0,failed
beta=0,7,15,1663.0,failed
beta=0,7,16,2021.0,failed
beta=0,7,17,2405.0,failed
beta=0,7,18,2773.0,failed
beta=0,7,19,3169.0,failed
beta=0,7,20,3516.0,failed
beta=0,7,21,3798.0,failed
beta=0,7,22,4009.0,failed
beta=0,7,23,4165.0,failed
beta=0,7,24,4323.0,failed
beta=0,7,25,4490.0,failed
beta=0,7,26,4638.0,failed
beta=0,7,27,4757.0,failed
beta=0,7,28,4841.0,failed
beta=0,7,29,4897.0,failed
beta=0,7,30,4923.0,failed
beta=0,7,31,4932.0,failed
beta=0,7,32,4938.0,failed
beta=0,7,33,4941.0,failed
beta=0,7,34,4941.0,failed
beta=0,7,35,4941.0,failed
beta=0,7,36,4941.0,failed
beta=0,7,37,4941.0,failed
beta=0,7,38,4941.0,failed
beta=0,7,39,4941.0,failed
beta=0,7,40,4941.0,failed
beta=0,7,41,4941.0,failed
beta=0,7,42,4941.0,failed
beta=0,7,43,4941.0,failed
beta=0,7,44,4941.0,failed
beta=0,7,45,4941.0,failed
beta=0,7,46,4941.0,failed
beta=0,7,47,4941.0,failed
beta=0,7,48,4941.0,failed
beta=0,7,49,4941.0,failed
beta=0,7,50,4941.0,failed
beta=0,7,51,4941.0,failed
beta=0,7,52,4941.0,failed
beta=0,7,53,4941.0,failed
beta=0,7,54,4941.0,failed
beta=0,7,55,4941.0,failed
beta=0,7,56,4941.0,failed
beta=0,7,57,4941.0,failed
beta=0,7,58,4941.0,failed
beta=0,7,59,4941.0,failed
beta=0,7,60,4941.0,failed
beta=0,7,61,4941.0,failed
beta=0,7,62,4941.0,failed
beta=0,7,63,4941.0,failed
beta=0,7,64,4941.0,failed
beta=0,7,65,4941.0,failed
beta=0,7,66,4941.0,failed
beta=0,7,67,4941.0,failed
beta=0,7,68,4941.0,failed
beta=0,7,69,4941.0,failed
beta=0,7,70,4941.0,failed
beta=0,7,71,4941.0,failed
beta=0,7,72,4941.0,failed
beta=0,7,73,4941.0,failed
beta=0,7,74,4941.0,failed
beta=0,7,75,4941.0,failed
beta=0,7,76,4941.0,failed
beta=0,7,77,4941.0,failed
beta=0,7,78,4941.0,failed
beta=0,7,79,4941.0,failed
beta=0,7,80,4941.0,failed
beta=0,7,81,4941.0,failed
beta=0,7,82,4941.0,failed
beta=0,7,83,4941.0,failed
beta=0,7,84,4941.0,failed
beta=0,7,85,4941.0,failed
beta=0,7,86,4941.0,failed
beta=0,7,87,4941.0,failed
beta=0,7,88,4941.0,failed
beta=0,7,89,4941.0,failed
beta=0,7,90,4941.0,failed
beta=0,7,91,4941.0,failed
beta=0,7,92,4941.0,failed
beta=0,7,93,4941.0,failed
beta=0,7,94,4941.0,failed
beta=0,7,95,4941.0,failed
beta=0,7,96,4941.0,failed
beta=0,7,97,4941.0,failed
beta=0,7,98,4941.0,failed
beta=0,7,99,4941.0,failed
beta=0,7,100,4941.0,failed
beta=0,7,101,4941.0,failed
beta=0,7,102,4941.0,failed
beta=0,7,103,4941.0,failed
beta=0,7,104,4941.0,failed
beta=0,7,105,4941.0,failed
beta=0,7,106,4941.0,failed
beta=0,7,107,4941.0,failed
beta=0,7,108,4941.0,failed
beta=0,7,109,4941.0,failed
beta=0,7,110,4941.0,failed
beta=0,7,111,4941.0,failed
beta=0,7,112,4941.0,failed
beta=0,7,113,4941.0,failed
beta=0,7,114,4941.0,failed
beta=0,7,115,4941.0,failed
beta=0,7,116,4941.0,failed
beta=0,7,117,4941.0,failed
beta=0,7,118,4941.0,failed
beta=0,7,119,4941.0,failed
beta=0,7,120,4941.0,failed
beta=0,7,121,4941.0,failed
beta=0,7,122,4941.0,failed
beta=0,7,123,4941.0,failed
beta=0,7,124,4941.0,failed
beta=0,7,125,4941.0,failed
beta=0,7,126,4941.0,failed
beta=0,7,127,4941.0,failed
beta=0,7,128,4941.0,failed
beta=0,7,129,4941.0,failed
beta=0,7,130,4941.0,failed
beta=0,7,131,4941.0,failed
beta=0,7,132,4941.0,failed
beta=0,7,133,4941.0,failed
beta=0,7,134,4941.0,failed
beta=0,7,135,4941.0,failed
beta=0,7,136,4941.0,failed
beta=0,7,137,4941.0,failed
beta=0,7,138,4941.0,failed
beta=0,7,139,4941.0,failed
beta=0,7,140,4941.0,failed
beta=0,7,141,4941.0,failed
beta=0,7,142,4941.0,failed
beta=0,7,143,4941.0,failed
beta=0,7,144,4941.0,failed
beta=0,7,145,4941.0,failed
beta=0,7,146,4941.0,failed
beta=0,7,147,4941.0,failed
beta=0,7,148,4941.0,failed
beta=0,7,149,4941.0,failed
beta=0,7,150,4941.0,failed
beta=0,7,151,4941.0,failed
beta=0,7,152,4941.0,failed
beta=0,7,153,4941.0,failed
beta=0,7,154,4941.0,failed
beta=0,7,155,4941.0,failed
beta=0,7,156,4941.0,failed
beta=0,7,157,4941.0,failed
beta=0,7,158,4941.0,failed
beta=0,7,159,4941.0,failed
beta=0,7,160,4941.0,failed
beta=0,7,161,4941.0,failed
beta=0,7,162,4941.0,failed
beta=0,7,163,4941.0,failed
beta=0,7,164,4941.0,failed
beta=0,7,165,4941.0,failed
beta=0,7,166,4941.0,failed
beta=0,7,167,4941.0,failed
beta=0,7,168,4941.0,failed
beta=0,7,169,4941.0,failed
beta=0,7,170,4941.0,failed
beta=0,7,171,4941.0,failed
beta=0,7,172,4941.0,failed
beta=0,7,173,4941.0,failed
beta=0,7,174,4941.0,failed
beta=0,7,175,4941.0,failed
beta=0,7,176,4941.0,failed
beta=0,7,177,4941.0,failed
beta=0,7,178,4941.0,failed
beta=0,7,179,4941.0,failed
beta=0,7,180,4941.0,failed
beta=0,7,181,4941.0,failed
beta=0,7,182,4941.0,failed
beta=0,7,183,4941.0,failed
beta=0,7,184,4941.0,failed
beta=0,7,185,4941.0,failed
beta=0,7,186,4941.0,failed
beta=0,7,187,4941.0,failed
beta=0,7,188,4941.0,failed
beta=0,7,189,4941.0,failed
beta=0,7,190,4941.0,failed
beta=0,7,191,4941.0,failed
beta=0,7,192,4941.0,failed
beta=0,7,193,4941.0,failed
beta=0,7,194,4941.0,failed
beta=0,7,195,4941.0,failed
beta=0,7,196,4941.0,failed
beta=0,7,197,4941.0,failed
beta=0,7,198,4941.0,failed
beta=0,7,199,4941.0,failed
beta=0,7,200,4941.0,failed
beta=0,7,0,0.0,lost_load
beta=0,7,1,0.0,lost_load
beta=0,7,2,5.0,lost_load
beta=0,7,3,19.0,lost_load
beta=0,7,4,77.5,lost_load
beta=0,7,5,147.2428571428571,lost_load
beta=0,7,6,342.67785714285736,lost_load
beta=0,7,7,446.48251133786874,lost_load
beta=0,7,8,611.2440625,lost_load
beta=0,7,9,941.9562379535147,lost_load
beta=0,7,10,1354.268789864154,lost_load
beta=0,7,11,1704.7438306831043,lost_load
beta=0,7,12,2166.509759728781,lost_load
beta=0,7,13,2457.1149392099283,lost_load
beta=0,7,14,2828.0395113205714,lost_load
beta=0,7,15,3171.946581512013,lost_load
beta=0,7,16,3568.7242909015176,lost_load
beta=0,7,17,4212.832303643319,lost_load
beta=0,7,18,4976.153026581551,lost_load
beta=0,7,19,5944.416509148823,lost_load
beta=0,7,20,7200.084563909553,lost_load
beta=0,7,21,8279.388530676846,lost_load
beta=0,7,22,9401.718374861273,lost_load
beta=0,7,23,10016.274568080593,lost_load
beta=0,7,24,10470.015295596448,lost_load
beta=0,7,25,10927.962803789678,lost_load
beta=0,7,26,11312.381165504594,lost_load
beta=0,7,27,11803.070940780319,lost_load
beta=0,7,28,12275.553646473536,lost_load
beta=0,7,29,12595.931218840968,lost_load
beta=0,7,30,12933.705537802973,lost_load
beta=0,7,31,13107.222973258195,lost_load
beta=0,7,32,13137.93800804576,lost_load
beta=0,7,33,13154.45834672733,lost_load
beta=0,7,34,13187.999999999996,lost_load
beta=0,7,35,13187.999999999996,lost_load
beta=0,7,36,13187.999999999996,lost_load
beta=0,7,37,13187.999999999996,lost_load
beta=0,7,38,13187.999999999996,lost_load
beta=0,7,39,13187.999999999996,lost_load
beta=0,7,40,13187.999999999996,lost_load
beta=0,7,41,13187.999999999996,lost_load
