policy,seed,step,value
none,0,0,1.0
none,0,1,0.7941176470588235
none,0,2,0.7647058823529411
none,0,3,0.5882352941176471
none,0,4,0.29411764705882354
none,0,5,0.23529411764705882
none,0,6,0.14705882352941177
none,0,7,0.14705882352941177
none,0,8,0.14705882352941177
none,1,0,1.0
none,1,1,0.7941176470588235
none,1,2,0.7647058823529411
none,1,3,0.5882352941176471
none,1,4,0.29411764705882354
none,1,5,0.23529411764705882
none,1,6,0.14705882352941177
none,1,7,0.14705882352941177
none,1,8,0.14705882352941177
none,2,0,1.0
none,2,1,0.7941176470588235
none,2,2,0.7647058823529411
none,2,3,0.5882352941176471
none,2,4,0.29411764705882354
none,2,5,0.23529411764705882
none,2,6,0.14705882352941177
none,2,7,0.14705882352941177
none,2,8,0.14705882352941177
none,3,0,1.0
none,3,1,0.7941176470588235
none,3,2,0.7647058823529411
none,3,3,0.5882352941176471
none,3,4,0.29411764705882354
none,3,5,0.23529411764705882
none,3,6,0.14705882352941177
none,3,7,0.14705882352941177
none,3,8,0.14705882352941177
none,4,0,1.0
none,4,1,0.7941176470588235
none,4,2,0.7647058823529411
none,4,3,0.5882352941176471
none,4,4,0.29411764705882354
none,4,5,0.23529411764705882
none,4,6,0.14705882352941177
none,4,7,0.14705882352941177
none,4,8,0.14705882352941177
none,5,0,1.0
none,5,1,0.7941176470588235
none,5,2,0.7647058823529411
none,5,3,0.5882352941176471
none,5,4,0.29411764705882354
none,5,5,0.23529411764705882
none,5,6,0.14705882352941177
none,5,7,0.14705882352941177
none,5,8,0.14705882352941177
none,6,0,1.0
none,6,1,0.7941176470588235
none,6,2,0.7647058823529411
none,6,3,0.5882352941176471
none,6,4,0.29411764705882354
none,6,5,0.23529411764705882
none,6,6,0.14705882352941177
none,6,7,0.14705882352941177
none,6,8,0.14705882352941177
none,7,0,1.0
none,7,1,0.7941176470588235
none,7,2,0.7647058823529411
none,7,3,0.5882352941176471
none,7,4,0.29411764705882354
none,7,5,0.23529411764705882
none,7,6,0.14705882352941177
none,7,7,0.14705882352941177
none,7,8,0.14705882352941177
none,8,0,1.0
none,8,1,0.7941176470588235
none,8,2,0.7647058823529411
none,8,3,0.5882352941176471
none,8,4,0.29411764705882354
none,8,5,0.23529411764705882
none,8,6,0.14705882352941177
none,8,7,0.14705882352941177
none,8,8,0.14705882352941177
none,9,0,1.0
none,9,1,0.7941176470588235
none,9,2,0.7647058823529411
none,9,3,0.5882352941176471
none,9,4,0.29411764705882354
none,9,5,0.23529411764705882
none,9,6,0.14705882352941177
none,9,7,0.14705882352941177
none,9,8,0.14705882352941177
none,10,0,1.0
none,10,1,0.7941176470588235
none,10,2,0.7647058823529411
none,10,3,0.5882352941176471
none,10,4,0.29411764705882354
none,10,5,0.23529411764705882
none,10,6,0.14705882352941177
none,10,7,0.14705882352941177
none,10,8,0.14705882352941177
none,11,0,1.0
none,11,1,0.7941176470588235
none,11,2,0.7647058823529411
none,11,3,0.5882352941176471
none,11,4,0.29411764705882354
none,11,5,0.23529411764705882
none,11,6,0.14705882352941177
none,11,7,0.14705882352941177
none,11,8,0.14705882352941177
none,12,0,1.0
none,12,1,0.7941176470588235
none,12,2,0.7647058823529411
none,12,3,0.5882352941176471
none,12,4,0.29411764705882354
none,12,5,0.23529411764705882
none,12,6,0.14705882352941177
none,12,7,0.14705882352941177
none,12,8,0.14705882352941177
none,13,0,1.0
none,13,1,0.7941176470588235
none,13,2,0.7647058823529411
none,13,3,0.5882352941176471
none,13,4,0.29411764705882354
none,13,5,0.23529411764705882
none,13,6,0.14705882352941177
none,13,7,0.14705882352941177
none,13,8,0.14705882352941177
none,14,0,1.0
none,14,1,0.7941176470588235
none,14,2,0.7647058823529411
none,14,3,0.5882352941176471
none,14,4,0.29411764705882354
none,14,5,0.23529411764705882
none,14,6,0.14705882352941177
none,14,7,0.14705882352941177
none,14,8,0.14705882352941177
none,15,0,1.0
none,15,1,0.7941176470588235
none,15,2,0.7647058823529411
none,15,3,0.5882352941176471
none,15,4,0.29411764705882354
none,15,5,0.23529411764705882
none,15,6,0.14705882352941177
none,15,7,0.14705882352941177
none,15,8,0.14705882352941177
none,16,0,1.0
none,16,1,0.7941176470588235
none,16,2,0.7647058823529411
none,16,3,0.5882352941176471
none,16,4,0.29411764705882354
none,16,5,0.23529411764705882
none,16,6,0.14705882352941177
none,16,7,0.14705882352941177
none,16,8,0.14705882352941177
none,17,0,1.0
none,17,1,0.7941176470588235
none,17,2,0.7647058823529411
none,17,3,0.5882352941176471
none,17,4,0.29411764705882354
none,17,5,0.23529411764705882
none,17,6,0.14705882352941177
none,17,7,0.14705882352941177
none,17,8,0.14705882352941177
none,18,0,1.0
none,18,1,0.7941176470588235
none,18,2,0.7647058823529411
none,18,3,0.5882352941176471
none,18,4,0.29411764705882354
none,18,5,0.23529411764705882
none,18,6,0.14705882352941177
none,18,7,0.14705882352941177
none,18,8,0.14705882352941177
none,19,0,1.0
none,19,1,0.7941176470588235
none,19,2,0.7647058823529411
none,19,3,0.5882352941176471
none,19,4,0.29411764705882354
none,19,5,0.23529411764705882
none,19,6,0.14705882352941177
none,19,7,0.14705882352941177
none,19,8,0.14705882352941177
add_edge_random,0,0,1.0
add_edge_random,0,1,0.9705882352941176
add_edge_random,0,2,0.9411764705882353
add_edge_random,0,3,0.6176470588235294
add_edge_random,0,4,0.35294117647058826
add_edge_random,0,5,0.23529411764705882
add_edge_random,0,6,0.17647058823529413
add_edge_random,0,7,0.17647058823529413
add_edge_random,0,8,0.17647058823529413
add_edge_random,1,0,1.0
add_edge_random,1,1,0.9411764705882353
add_edge_random,1,2,0.9117647058823529
add_edge_random,1,3,0.7352941176470589
add_edge_random,1,4,0.6764705882352942
add_edge_random,1,5,0.5294117647058824
add_edge_random,1,6,0.2647058823529412
add_edge_random,1,7,0.23529411764705882
add_edge_random,1,8,0.23529411764705882
add_edge_random,2,0,1.0
add_edge_random,2,1,0.7941176470588235
add_edge_random,2,2,0.7647058823529411
add_edge_random,2,3,0.6764705882352942
add_edge_random,2,4,0.5882352941176471
add_edge_random,2,5,0.35294117647058826
add_edge_random,2,6,0.3235294117647059
add_edge_random,2,7,0.20588235294117646
add_edge_random,2,8,0.14705882352941177
add_edge_random,3,0,1.0
add_edge_random,3,1,0.9411764705882353
add_edge_random,3,2,0.9117647058823529
add_edge_random,3,3,0.7647058823529411
add_edge_random,3,4,0.7058823529411765
add_edge_random,3,5,0.5882352941176471
add_edge_random,3,6,0.5
add_edge_random,3,7,0.38235294117647056
add_edge_random,3,8,0.3235294117647059
add_edge_random,4,0,1.0
add_edge_random,4,1,0.9411764705882353
add_edge_random,4,2,0.9117647058823529
add_edge_random,4,3,0.7352941176470589
add_edge_random,4,4,0.7058823529411765
add_edge_random,4,5,0.5294117647058824
add_edge_random,4,6,0.29411764705882354
add_edge_random,4,7,0.29411764705882354
add_edge_random,4,8,0.23529411764705882
add_edge_random,5,0,1.0
add_edge_random,5,1,0.7941176470588235
add_edge_random,5,2,0.7647058823529411
add_edge_random,5,3,0.6470588235294118
add_edge_random,5,4,0.5882352941176471
add_edge_random,5,5,0.4117647058823529
add_edge_random,5,6,0.29411764705882354
add_edge_random,5,7,0.20588235294117646
add_edge_random,5,8,0.14705882352941177
add_edge_random,6,0,1.0
add_edge_random,6,1,0.7941176470588235
add_edge_random,6,2,0.7647058823529411
add_edge_random,6,3,0.6470588235294118
add_edge_random,6,4,0.5882352941176471
add_edge_random,6,5,0.29411764705882354
add_edge_random,6,6,0.17647058823529413
add_edge_random,6,7,0.17647058823529413
add_edge_random,6,8,0.14705882352941177
add_edge_random,7,0,1.0
add_edge_random,7,1,0.9411764705882353
add_edge_random,7,2,0.9117647058823529
add_edge_random,7,3,0.7352941176470589
add_edge_random,7,4,0.7058823529411765
add_edge_random,7,5,0.47058823529411764
add_edge_random,7,6,0.38235294117647056
add_edge_random,7,7,0.38235294117647056
add_edge_random,7,8,0.17647058823529413
add_edge_random,8,0,1.0
add_edge_random,8,1,0.9411764705882353
add_edge_random,8,2,0.9117647058823529
add_edge_random,8,3,0.7941176470588235
add_edge_random,8,4,0.47058823529411764
add_edge_random,8,5,0.2647058823529412
add_edge_random,8,6,0.23529411764705882
add_edge_random,8,7,0.23529411764705882
add_edge_random,8,8,0.20588235294117646
add_edge_random,9,0,1.0
add_edge_random,9,1,0.7941176470588235
add_edge_random,9,2,0.7647058823529411
add_edge_random,9,3,0.7058823529411765
add_edge_random,9,4,0.6176470588235294
add_edge_random,9,5,0.4117647058823529
add_edge_random,9,6,0.3235294117647059
add_edge_random,9,7,0.23529411764705882
add_edge_random,9,8,0.14705882352941177
add_edge_random,10,0,1.0
add_edge_random,10,1,0.9411764705882353
add_edge_random,10,2,0.9117647058823529
add_edge_random,10,3,0.7941176470588235
add_edge_random,10,4,0.7352941176470589
add_edge_random,10,5,0.6176470588235294
add_edge_random,10,6,0.38235294117647056
add_edge_random,10,7,0.38235294117647056
add_edge_random,10,8,0.3235294117647059
add_edge_random,11,0,1.0
add_edge_random,11,1,0.9705882352941176
add_edge_random,11,2,0.9411764705882353
add_edge_random,11,3,0.5882352941176471
add_edge_random,11,4,0.29411764705882354
add_edge_random,11,5,0.2647058823529412
add_edge_random,11,6,0.20588235294117646
add_edge_random,11,7,0.20588235294117646
add_edge_random,11,8,0.20588235294117646
add_edge_random,12,0,1.0
add_edge_random,12,1,0.9411764705882353
add_edge_random,12,2,0.9117647058823529
add_edge_random,12,3,0.7941176470588235
add_edge_random,12,4,0.4117647058823529
add_edge_random,12,5,0.4117647058823529
add_edge_random,12,6,0.38235294117647056
add_edge_random,12,7,0.38235294117647056
add_edge_random,12,8,0.23529411764705882
add_edge_random,13,0,1.0
add_edge_random,13,1,0.9411764705882353
add_edge_random,13,2,0.9117647058823529
add_edge_random,13,3,0.7941176470588235
add_edge_random,13,4,0.7647058823529411
add_edge_random,13,5,0.4117647058823529
add_edge_random,13,6,0.23529411764705882
add_edge_random,13,7,0.23529411764705882
add_edge_random,13,8,0.23529411764705882
add_edge_random,14,0,1.0
add_edge_random,14,1,0.9705882352941176
add_edge_random,14,2,0.9411764705882353
add_edge_random,14,3,0.6176470588235294
add_edge_random,14,4,0.3235294117647059
add_edge_random,14,5,0.23529411764705882
add_edge_random,14,6,0.17647058823529413
add_edge_random,14,7,0.17647058823529413
add_edge_random,14,8,0.17647058823529413
add_edge_random,15,0,1.0
add_edge_random,15,1,0.9411764705882353
add_edge_random,15,2,0.9117647058823529
add_edge_random,15,3,0.7647058823529411
add_edge_random,15,4,0.7058823529411765
add_edge_random,15,5,0.5294117647058824
add_edge_random,15,6,0.4411764705882353
add_edge_random,15,7,0.20588235294117646
add_edge_random,15,8,0.14705882352941177
add_edge_random,16,0,1.0
add_edge_random,16,1,0.9705882352941176
add_edge_random,16,2,0.9411764705882353
add_edge_random,16,3,0.8235294117647058
